date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:25	21132/21132	---MCZ	200	added ('OK')	application/javascript	etag:W/%22528c-15dc173036c%22	http://foodees.in/vendor/angular-moment/angular-moment.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/angular-moment/angular-moment.js	(from http://foodees.in/)
12:26:25	1721/1721	---MCZ	200	added ('OK')	application/javascript	etag:W/%226b9-15dc17308dc%22	http://foodees.in/vendor/angular-aside/dist/js/angular-aside.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/angular-aside/dist/js/angular-aside.js	(from http://foodees.in/)
12:26:25	10051/10051	---MCZ	200	added ('OK')	application/javascript	etag:W/%222743-15dc17308d4%22	http://foodees.in/vendor/please-wait/build/please-wait.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/please-wait/build/please-wait.js	(from http://foodees.in/)
12:26:26	1158/1158	---MCZ	200	added ('OK')	application/javascript	etag:W/%22486-15dc172c0be%22	http://foodees.in/js/directives/aside.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/js/directives/aside.js	(from http://foodees.in/)
12:26:26	124630/124630	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2010%20Dec%202016%2011:32:34%20GMT	https://cdnjs.cloudflare.com/ajax/libs/angular-ui-bootstrap/2.3.1/ui-bootstrap-tpls.min.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/cdnjs.cloudflare.com/ajax/libs/angular-ui-bootstrap/2.3.1/ui-bootstrap-tpls.min.js	(from http://foodees.in/)
12:26:27	33816/33816	---MCZ	200	added ('OK')	application/javascript	etag:W/%228418-15dc172c0be%22	http://foodees.in/app.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/app.js	(from http://foodees.in/)
12:26:39	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-15dc17307b4%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.eot?v=4.6.3	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfont5b62.eot	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:26:40	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2212ae6-15dc17307b4%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.eot?	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:26:50	71896/71896	---M--	200	added ('OK')	application/font-woff2	etag:W/%22118d8-15dc17307c0%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfont5b62.woff2	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:26:52	1048111/1048111	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ffe2f-15dc172bc2e%22	http://foodees.in/vendor/angular.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/angular.js	(from http://foodees.in/)
12:26:55	391622/391622	---M--	200	added ('OK')	image/svg+xml	etag:W/%225f9c6-15dc17307b8%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.svg?v=4.6.3	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfont5b62.svg	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:26:57	90412/90412	---M--	200	added ('OK')	application/font-woff	etag:W/%221612c-15dc17307bc%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.6.3	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfont5b62.woff	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:26:58	92/92	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Aug%202017%2006:57:04%20GMT	http://foodees.in/fonts/Lato-Medium.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Medium.23.delayed	(from http://foodees.in/css/style.css)
12:26:59	8484/8484	---MCZ	200	added ('OK')	text/html	etag:W/%222124-15dc172b3de%22	http://foodees.in/#/fonts/Lato-Medium.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/#/fonts/Lato-Medium.html	(from http://foodees.in/css/style.css)
12:27:13	655963/655963	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a025b-15dc173076c%22	http://foodees.in/templates.js	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/templates.js	(from http://foodees.in/)
12:27:16	120196/120196	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221d584-15dc172b8fa%22	http://foodees.in/fonts/Lato-Regular.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Regular.ttf	(from http://foodees.in/css/style.css)
12:27:16	96/96	---M--	302	error ('Found')	text/html	date:Wed,%2009%20Aug%202017%2006:57:22%20GMT	http://foodees.in/fonts/Lato-SemiBold.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-SemiBold.27.delayed	(from http://foodees.in/css/style.css)
12:27:17	8484/8484	---MCZ	200	added ('OK')	text/html	etag:W/%222124-15dc172b3de%22	http://foodees.in/#/fonts/Lato-SemiBold.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/#/fonts/Lato-SemiBold.html	(from http://foodees.in/css/style.css)
12:27:18	118352/118352	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221ce50-15dc172b82e%22	http://foodees.in/fonts/Lato-Italic.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Italic.ttf	(from http://foodees.in/css/style.css)
12:27:18	152796/152796	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22254dc-15dc17307b8%22	http://foodees.in/vendor/font-awesome/fonts/fontawesome-webfont.ttf?v=4.6.3	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/vendor/font-awesome/fonts/fontawesome-webfont5b62.ttf	(from http://foodees.in/vendor/font-awesome/css/font-awesome.css)
12:27:32	121788/121788	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221dbbc-15dc172b556%22	http://foodees.in/fonts/Lato-Bold.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Bold.ttf	(from http://foodees.in/css/style.css)
12:27:36	111616/111616	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221b400-15dc172b45e%22	http://foodees.in/fonts/Lato-BlackItalic.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-BlackItalic.ttf	(from http://foodees.in/css/style.css)
12:27:36	114588/114588	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221bf9c-15dc172b3c2%22	http://foodees.in/fonts/Lato-Black.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Black.ttf	(from http://foodees.in/css/style.css)
12:27:36	120312/120312	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221d5f8-15dc172b5b2%22	http://foodees.in/fonts/Lato-BoldItalic.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-BoldItalic.ttf	(from http://foodees.in/css/style.css)
12:27:51	91600/91600	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22165d0-15dc172b866%22	http://foodees.in/fonts/Lato-LightItalic.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-LightItalic.ttf	(from http://foodees.in/css/style.css)
12:27:51	122524/122524	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%221de9c-15dc172b852%22	http://foodees.in/fonts/Lato-Light.ttf	E:/KENIL/B.Tech/Summer_Vacation/Foodees/foodees.in/fonts/Lato-Light.ttf	(from http://foodees.in/css/style.css)
